nome,cnpj,categoria,score_risco,nivel_risco,resumo_ia
Tech Solutions Ltda,11.222.333/0001-01,Eletrônicos,2.50,BAIXO,Fornecedor com histórico estável e entregas pontuais.
Moda Brasil S.A.,11.222.333/0002-02,Moda,6.80,MÉDIO,Alguns atrasos registrados no último trimestre.
Alimentos do Sul Ltda,11.222.333/0003-03,Alimentos,1.20,BAIXO,Excelente conformidade com normas sanitárias.
Casa & Cia S.A.,11.222.333/0004-04,Casa,8.50,ALTO,Pendências fiscais identificadas em auditoria recente.
Beleza Total Ltda,11.222.333/0005-05,Beleza,3.40,BAIXO,Fornecedor confiável com certificações válidas.
Esporte Ativo S.A.,11.222.333/0006-06,Esportes,5.60,MÉDIO,Capacidade produtiva limitada em períodos de alta demanda.
Global Eletrônicos Ltda,11.222.333/0007-07,Eletrônicos,9.10,CRÍTICO,Múltiplas irregularidades fiscais e contratuais detectadas.
Fashion Group S.A.,11.222.333/0008-08,Moda,4.20,MÉDIO,Qualidade inconsistente em lotes recentes.
NutriFood Ltda,11.222.333/0009-09,Alimentos,2.10,BAIXO,Boa rastreabilidade e controle de qualidade.
HomeDecor S.A.,11.222.333/0010-10,Casa,7.30,ALTO,Reclamações frequentes sobre prazo de entrega.
GlowBeauty Ltda,11.222.333/0011-11,Beleza,1.80,BAIXO,Certificações em dia e histórico sem ocorrências.
RunFast S.A.,11.222.333/0012-12,Esportes,6.50,MÉDIO,Dependência de único fornecedor de matéria-prima.
Micro Chips Ltda,11.222.333/0013-13,Eletrônicos,3.90,BAIXO,Entregas dentro do prazo na maioria dos pedidos.
Estilo Único S.A.,11.222.333/0014-14,Moda,8.00,ALTO,Histórico de descumprimento contratual em 2024.
Campo Verde Ltda,11.222.333/0015-15,Alimentos,1.50,BAIXO,Fornecedor orgânico certificado com excelente reputação.
Conforto Casa S.A.,11.222.333/0016-16,Casa,5.00,MÉDIO,Qualidade média com potencial de melhoria.
Essence Beleza Ltda,11.222.333/0017-17,Beleza,2.90,BAIXO,Produtos regularizados junto à ANVISA.
Power Sports S.A.,11.222.333/0018-18,Esportes,7.70,ALTO,Problemas recorrentes de conformidade de produto.
DigiTech Ltda,11.222.333/0019-19,Eletrônicos,4.60,MÉDIO,Suporte técnico pós-venda abaixo do esperado.
Trend Moda S.A.,11.222.333/0020-20,Moda,3.10,BAIXO,Bom desempenho nas últimas auditorias.
Sabores do Norte Ltda,11.222.333/0021-21,Alimentos,9.50,CRÍTICO,Interdição sanitária em unidade produtiva em 2025.
Espaço Lar S.A.,11.222.333/0022-22,Casa,2.40,BAIXO,Fornecedor parceiro com contrato de longo prazo.
Dermis Beleza Ltda,11.222.333/0023-23,Beleza,6.10,MÉDIO,Reclamações de clientes sobre prazo de validade.
Sport Life S.A.,11.222.333/0024-24,Esportes,1.10,BAIXO,Líder de mercado com processos bem estruturados.
Circuito Eletrônico Ltda,11.222.333/0025-25,Eletrônicos,8.80,ALTO,Capacidade financeira comprometida segundo relatório de crédito.
Costura Fina S.A.,11.222.333/0026-26,Moda,5.30,MÉDIO,Histórico misto com melhorias recentes documentadas.
Orgânico Vivo Ltda,11.222.333/0027-27,Alimentos,1.90,BAIXO,Totalmente rastreável do campo à entrega.
Design Casa S.A.,11.222.333/0028-28,Casa,7.00,ALTO,Inconsistências em documentação fiscal.
Vita Beleza Ltda,11.222.333/0029-29,Beleza,3.70,BAIXO,Sem ocorrências relevantes nos últimos 24 meses.
Atlético Pro S.A.,11.222.333/0030-30,Esportes,6.20,MÉDIO,Variação de qualidade entre lotes detectada.
Smart Eletrônicos Ltda,11.222.333/0031-31,Eletrônicos,2.80,BAIXO,Fornecedor homologado com auditorias regulares.
Vogue Brasil S.A.,11.222.333/0032-32,Moda,9.30,CRÍTICO,Envolvido em processo judicial trabalhista de grande escala.
Colheita Boa Ltda,11.222.333/0033-33,Alimentos,2.20,BAIXO,Fornecedor regional com excelente pontualidade.
Aconchego Casa S.A.,11.222.333/0034-34,Casa,5.80,MÉDIO,Desempenho variável conforme período do ano.
Bio Glow Ltda,11.222.333/0035-35,Beleza,1.30,BAIXO,Produtos 100% naturais com certificação ECOCERT.
Maratona Sports S.A.,11.222.333/0036-36,Esportes,8.20,ALTO,Dificuldades operacionais após mudança de gestão.
Pixel Tech Ltda,11.222.333/0037-37,Eletrônicos,4.00,MÉDIO,Conformidade satisfatória nas últimas entregas.
Alfaiate Moderno S.A.,11.222.333/0038-38,Moda,3.60,BAIXO,Parcerias sólidas e sem histórico de litígios.
